周杰伦,华为,苏宁,最伟大的作品,陈春花,易购,超生,罗崇敏,破产,教育厅,调剂,全州,盖章,清算,违法犯罪,传言,厅长,转绿码,云南,先行曲,米老鼠,袁冰妍,致歉,涉嫌,新专辑,街道,印度,迪士尼,偷漏税,社会调剂,搜查,一切正常,哈根达斯,突击
0.9974747,0.0,0.0,0.9050177,0.0,0.0,0.0031857,0.0,0.0,0.0,0.0038668,0.0033635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6577402,0.0,0.0,0.0,0.0035354,0.7053213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9952381,0.0,0.0,0.9832992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9155222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9945055,0.0,0.0,0.9696373,0.0,0.0,0.9556735,0.0,0.0,0.0,0.0161783,0.9217203,0.0,0.0110194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6852654,0.0,0.0
0.9050177,0.0,0.0,0.996904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6454508,0.0,0.0,0.0,0.0038207,0.5244041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9832992,0.0,0.0,0.9952153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9696373,0.0,0.0,0.9942197,0.0,0.0,0.9745567,0.0,0.0,0.0,0.016607,0.9443017,0.0,0.0113052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6952699,0.0,0.0
0.0031857,0.0,0.0,0.0,0.0,0.0,0.9961538,0.0,0.0,0.0,0.8511218,0.9496445,0.0091372,0.0,0.0,0.0,0.0,0.0092809,0.0,0.0,0.0,0.0,0.0097285,0.0125874,0.0,0.0092516,0.0069231,0.0,0.0,0.6485307,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951456,0.0,0.9902913,0.0,0.0,0.0,0.0055136,0.9333223,0.0,0.9855302,0.0,0.978558,0.0,0.0,0.0,0.0,0.958782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008109
0.0,0.0,0.9556735,0.0,0.0,0.9745567,0.0,0.0,0.994382,0.0,0.0,0.0,0.0163635,0.9432654,0.0,0.0111428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689587,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9902913,0.0,0.9951456,0.0,0.0,0.0,0.0055136,0.9383673,0.0,0.9903613,0.0,0.978558,0.0,0.0,0.0,0.0,0.958782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008109
0.0038668,0.0,0.0,0.0,0.0,0.0,0.8511218,0.0,0.0,0.0,0.9947917,0.7904412,0.0104993,0.0,0.0,0.0,0.0,0.0106431,0.0,0.0,0.0,0.0,0.0110907,0.0146307,0.0,0.0106137,0.0076042,0.0,0.0,0.2959972,0.0,0.0,0.0,0.0
0.0033635,0.0,0.0,0.0,0.0,0.0,0.9496445,0.0,0.0,0.0,0.7904412,0.9957983,0.0047463,0.0,0.0,0.0,0.0,0.0048182,0.0,0.0,0.0,0.0,0.005042,0.0131207,0.0,0.0048035,0.0071008,0.0,0.0,0.6715372,0.0,0.0,0.0,0.0
0.0,0.0,0.0161783,0.0,0.0,0.016607,0.0091372,0.0,0.0163635,0.0,0.0104993,0.0047463,0.994709,0.0171958,0.0,0.0,0.0,0.9814096,0.0,0.0,0.0,0.0,0.9385621,0.0,0.0,0.9787216,0.0,0.0,0.0,0.0082635,0.0,0.0096878,0.0,0.0
0.0,0.0,0.9217203,0.0,0.0,0.9443017,0.0,0.0055136,0.9432654,0.0055136,0.0,0.0,0.0171958,0.9938272,0.0057042,0.0116977,0.0054903,0.0,0.0054561,0.0,0.0,0.0,0.0,0.0053591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7090071,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333223,0.0,0.9383673,0.0,0.0,0.0,0.0057042,0.9947644,0.0,0.9340264,0.0,0.9226818,0.0,0.0,0.0,0.0,0.9145288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082996
0.0,0.9155222,0.0110194,0.0,0.91755,0.0113052,0.0,0.0,0.0111428,0.0,0.0,0.0,0.0,0.0116977,0.0,0.9944751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098047,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9855302,0.0,0.9903613,0.0,0.0,0.0,0.0054903,0.9340264,0.0,0.9951923,0.0,0.9737969,0.0,0.0,0.0,0.0,0.954021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080857
0.0,0.0,0.0,0.0,0.0,0.0,0.0092809,0.0,0.0,0.0,0.0106431,0.0048182,0.9814096,0.0,0.0,0.0,0.0,0.9945652,0.0,0.0,0.0,0.0,0.9506394,0.0,0.0,0.9918772,0.0,0.0,0.0,0.0083354,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978558,0.0,0.978558,0.0,0.0,0.0,0.0054561,0.9226818,0.0,0.9737969,0.0,0.9952607,0.0,0.0,0.0,0.0,0.9470487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0080515
0.6577402,0.0,0.0,0.6454508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922481,0.0,0.0,0.0,0.0,0.2755207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9928571,0.0,0.0,0.0,0.0,0.0,0.0,0.9784664,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0097285,0.0,0.0,0.0,0.0110907,0.005042,0.9385621,0.0,0.0,0.0,0.0,0.9506394,0.0,0.0,0.0,0.0,0.9941176,0.0,0.0,0.9481717,0.0,0.0,0.0,0.0085592,0.0,0.0,0.0,0.0
0.0035354,0.0046537,0.0,0.0038207,0.0046651,0.0,0.0125874,0.958782,0.0,0.958782,0.0146307,0.0131207,0.0,0.0053591,0.9145288,0.0050352,0.954021,0.0,0.9470487,0.0,0.0,0.0,0.0,0.9954545,0.0,0.0,0.0,0.0,0.0,0.0157814,0.0,0.0,0.0,0.0079545
0.7053213,0.0,0.0,0.5244041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2755207,0.0,0.0,0.0,0.0,0.9939759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0092516,0.0,0.0,0.0,0.0106137,0.0048035,0.9787216,0.0,0.0,0.0,0.0,0.9918772,0.0,0.0,0.0,0.0,0.9481717,0.0,0.0,0.9945946,0.0,0.0,0.0,0.0083207,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0069231,0.0,0.0,0.0,0.0076042,0.0071008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.9039759,0.0,0.0,0.9186364
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0,0.9880952,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9784664,0.0,0.0,0.0,0.0,0.0,0.0,0.9926471,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6485307,0.0,0.0,0.0,0.2959972,0.6715372,0.0082635,0.0,0.0,0.0,0.0,0.0083354,0.0,0.0,0.0,0.0,0.0085592,0.0157814,0.0,0.0083207,0.0,0.0,0.0,0.988764,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9039759,0.0,0.0,0.0,0.9879518,0.0,0.0,0.959885
0.0,0.0,0.6852654,0.0,0.0,0.6952699,0.0,0.0,0.689587,0.0,0.0,0.0,0.0096878,0.7090071,0.0,0.0098047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9859155,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9830508,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008109,0.0,0.008109,0.0,0.0,0.0,0.0,0.0082996,0.0,0.0080857,0.0,0.0080515,0.0,0.0,0.0,0.0,0.0079545,0.0,0.0,0.9186364,0.0,0.0,0.0,0.959885,0.0,0.0,0.9886364
